Country,Region,Year,pm2.5
Belgium,Europe (HIC),2014,11
Belgium,Europe (HIC),2015,13
Belgium,Europe (HIC),2016,13
Belgium,Europe (HIC),2013,14
Belgium,Europe (HIC),2014,9
Belgium,Europe (HIC),2015,12
Belgium,Europe (HIC),2016,12
Belgium,Europe (HIC),2013,15
Belgium,Europe (HIC),2014,11
Belgium,Europe (HIC),2015,11
Belgium,Europe (HIC),2016,11
Belgium,Europe (HIC),2013,15
Belgium,Europe (HIC),2013,15
Belgium,Europe (HIC),2014,12
Belgium,Europe (HIC),2015,12
Belgium,Europe (HIC),2016,12
Belgium,Europe (HIC),2013,14
Belgium,Europe (HIC),2014,13
Belgium,Europe (HIC),2015,13
Belgium,Europe (HIC),2016,12
Belgium,Europe (HIC),2013,16
Belgium,Europe (HIC),2014,14
Belgium,Europe (HIC),2015,14
Belgium,Europe (HIC),2016,14
Belgium,Europe (HIC),2013,17
Belgium,Europe (HIC),2014,13
Belgium,Europe (HIC),2015,13
Belgium,Europe (HIC),2016,14
Belgium,Europe (HIC),2013,17
Belgium,Europe (HIC),2014,15
Belgium,Europe (HIC),2015,14
Belgium,Europe (HIC),2016,13
Belgium,Europe (HIC),2013,19
Belgium,Europe (HIC),2014,16
Belgium,Europe (HIC),2015,14
Belgium,Europe (HIC),2016,14
Belgium,Europe (HIC),2013,18
Belgium,Europe (HIC),2013,19
Belgium,Europe (HIC),2014,16
Belgium,Europe (HIC),2015,15
Belgium,Europe (HIC),2016,15
Belgium,Europe (HIC),2013,11
Belgium,Europe (HIC),2014,8
Belgium,Europe (HIC),2015,9
Belgium,Europe (HIC),2016,8
Belgium,Europe (HIC),2013,11
Belgium,Europe (HIC),2013,18
Belgium,Europe (HIC),2014,14
Belgium,Europe (HIC),2015,13
Belgium,Europe (HIC),2016,13
Belgium,Europe (HIC),2013,13
Belgium,Europe (HIC),2014,10
Belgium,Europe (HIC),2015,11
Belgium,Europe (HIC),2016,11
Belgium,Europe (HIC),2013,19
Belgium,Europe (HIC),2013,18
Belgium,Europe (HIC),2013,14
Belgium,Europe (HIC),2014,13
Belgium,Europe (HIC),2015,13
Belgium,Europe (HIC),2016,13
Belgium,Europe (HIC),2013,15
Belgium,Europe (HIC),2014,11
Belgium,Europe (HIC),2015,11
Belgium,Europe (HIC),2016,11
Belgium,Europe (HIC),2013,16
Belgium,Europe (HIC),2014,14
Belgium,Europe (HIC),2015,14
Belgium,Europe (HIC),2016,14
Belgium,Europe (HIC),2013,17
Belgium,Europe (HIC),2014,16
Belgium,Europe (HIC),2015,13
Belgium,Europe (HIC),2016,15
Belgium,Europe (HIC),2013,16
Belgium,Europe (HIC),2013,20
Belgium,Europe (HIC),2014,17
Belgium,Europe (HIC),2015,15
Belgium,Europe (HIC),2016,16
Belgium,Europe (HIC),2013,16
Belgium,Europe (HIC),2014,11
Belgium,Europe (HIC),2015,13
Belgium,Europe (HIC),2016,13
Belgium,Europe (HIC),2013,19
Belgium,Europe (HIC),2014,17
Belgium,Europe (HIC),2015,17
Belgium,Europe (HIC),2016,17
Belgium,Europe (HIC),2013,15
Belgium,Europe (HIC),2013,19
Belgium,Europe (HIC),2013,18
Belgium,Europe (HIC),2014,15
Belgium,Europe (HIC),2015,13
Belgium,Europe (HIC),2016,15
Belgium,Europe (HIC),2013,14
Belgium,Europe (HIC),2014,10
Belgium,Europe (HIC),2015,11
Belgium,Europe (HIC),2016,10
Belgium,Europe (HIC),2013,9
Belgium,Europe (HIC),2014,7
Belgium,Europe (HIC),2015,8
Belgium,Europe (HIC),2016,7
Belgium,Europe (HIC),2013,16
Belgium,Europe (HIC),2014,15
Belgium,Europe (HIC),2015,14
Belgium,Europe (HIC),2016,14
Belgium,Europe (HIC),2013,16
Belgium,Europe (HIC),2014,11
Belgium,Europe (HIC),2015,13
Belgium,Europe (HIC),2016,13
Belgium,Europe (HIC),2013,14
Belgium,Europe (HIC),2014,13
Belgium,Europe (HIC),2015,14
Belgium,Europe (HIC),2016,12
Belgium,Europe (HIC),2013,11
Belgium,Europe (HIC),2014,8
Belgium,Europe (HIC),2015,9
Belgium,Europe (HIC),2016,8
Belgium,Europe (HIC),2013,18
Belgium,Europe (HIC),2014,16
Belgium,Europe (HIC),2015,16
Belgium,Europe (HIC),2016,15
Belgium,Europe (HIC),2013,16
Belgium,Europe (HIC),2014,13
Belgium,Europe (HIC),2015,13
Belgium,Europe (HIC),2016,13
Belgium,Europe (HIC),2013,14
Belgium,Europe (HIC),2014,12
Belgium,Europe (HIC),2015,11
Belgium,Europe (HIC),2016,12
Belgium,Europe (HIC),2013,19
Belgium,Europe (HIC),2014,17
Belgium,Europe (HIC),2015,14
Belgium,Europe (HIC),2016,13
Belgium,Europe (HIC),2013,16
Belgium,Europe (HIC),2014,13
Belgium,Europe (HIC),2015,11
Belgium,Europe (HIC),2016,12
Belgium,Europe (HIC),2013,9
Belgium,Europe (HIC),2014,7
Belgium,Europe (HIC),2015,7
Belgium,Europe (HIC),2016,5
Belgium,Europe (HIC),2013,17
Belgium,Europe (HIC),2014,16
